clean_name,obj_name,campaign,ap_start,ap_end,count,EPIC_ID,main_type,sub_type,new_obj_name,alternate_names,PROPOSERS,IDS,Name,Desig,Family,CSource,Class,DiamSource,DiamFlag,Diam,HSource,H,HBand,GSource,G,AlbSource,AlbFlag,Albedo,PFlag,Period,PerDesc,AmpFlag,AmpMin,AmpMax,U,Notes,Pole,IsBinary,WideField,SparseData,NotesEx,Private
228102,TROJAN (228102),6,200048775,200049195,421,NA,asteroid-Trojan,-228102,TROJAN (228102),2008 SY172|228102,Ryan,GO6025,2008 SY172,2008 SY172,TR-J,A,C,C,-,17.6,M,12.5,V,M,0.15,A,-,0.057,-,7.259,-,-,0.25,0.26,2+,H,-,N,N,Y,N,N
23939,TROJAN (23939),6,200049196,200049925,730,NA,asteroid-Trojan,-23939,TROJAN (23939),1998 TV33|23939,Ryan,GO6025,1998 TV33,1998 TV33,TR-J,A,C,C,-,29.21,M,11.4,V,M,0.15,A,-,0.057,-,12.868,-,-,0.49,0.55,2+,H,-,N,N,Y,N,N
23947,TROJAN (23947),6,200049926,200050052,127,NA,asteroid-Trojan,-23947,TROJAN (23947),1998 UH16|23947,Ryan,GO6025,1998 UH16,1998 UH16,TR-J,A,C,C,-,24.3,M,11.8,V,M,0.15,A,-,0.057,-,5.72,-,-,0.07,0.16,1+,H,-,N,N,Y,N,N
23958,TROJAN (23958),6,200050053,200050357,305,NA,asteroid-Trojan,-23958,TROJAN (23958),1998 VD30|23958,Ryan,GO6025,1998 VD30,1998 VD30,TR-J,A,C,C,-,50.77,M,10.2,V,M,0.15,A,-,0.057,-,562,-,-,0.36,0.45,2,H,-,N,N,Y,N,N
24357,TROJAN (24357),6,200050358,200050618,261,NA,asteroid-Trojan,-24357,TROJAN (24357),2000 AC115|24357,Ryan,GO6025,2000 AC115,2000 AC115,TR-J,A,C,C,-,25.44,M,11.7,V,M,0.15,A,-,0.057,-,264,-,-,0.38,0.39,2+,H,-,N,N,Y,N,N
24534,TROJAN (24534),6,200050619,200051168,550,NA,asteroid-Trojan,-24534,TROJAN (24534),2001 CX27|24534,Ryan,GO6025,2001 CX27,2001 CX27,TR-J,A,C,C,-,32.03,M,11.2,V,M,0.15,A,-,0.057,-,19.417,-,-,0.11,0.15,2,H,-,N,N,Y,N,N
24537,TROJAN (24537),6,200051169,200051405,237,NA,asteroid-Trojan,-24537,TROJAN (24537),2001 CB35|24537,Ryan,GO6025,2001 CB35,2001 CB35,TR-J,A,C,C,-,33.54,M,11.1,V,M,0.15,A,-,0.057,-,10.489,-,-,0.3,0.34,2+,H,-,N,N,Y,N,N
250112,TNO (250112) 2002 KY14,4,200006425,200007764,1340,NA,TNO,(250112) 2002 KY14,2002 KY14,250112|2002 KY14,NA,NA,2002 KY14,2002 KY14,CEN,A,C,C,-,63.91,M,9.7,V,M,0.15,A,-,0.057,-,3.56,-,-,-9.99,0.13,2-,1A,-,N,N,N,Y,N
353363,TROJAN (353363),6,200051406,200051568,163,NA,asteroid-Trojan,-353363,TROJAN (353363),2010 XP50|353363,Ryan,GO6025,2010 XP50,2010 XP50,TR-J,A,C,C,-,15.33,M,12.8,V,M,0.15,A,-,0.057,-,5.403,-,-,0.31,0.36,2+,H,-,N,N,Y,N,N
35363,TROJAN (35363),6,200051569,200051813,245,NA,asteroid-Trojan,-35363,TROJAN (35363),1997 TV28|35363,Ryan,GO6025,1997 TV28,1997 TV28,TR-J,A,C,C,-,23.21,M,11.9,V,M,0.15,A,-,0.057,-,18.779,-,-,0.32,0.33,2+,H,-,N,N,Y,N,N
3655,TROJAN (3655),6,200051814,200052110,297,NA,asteroid-Trojan,-3655,TROJAN (3655),1978 SA3|3655|Eupraksia,Ryan,GO6025,Eupraksia,1978 SA3,HIL,A,C,D,-,31.45,L,11.24,V,M,0.15,A,-,0.057,-,75.668,-,-,-9.99,0.23,2,-,-,N,N,Y,N,N
373,Asteroid.373,14,200180071,200180260,190,NA,asteroid-Main Belt,373 Melusina,Asteroid.373,1893 AJ|373|Melusina,Marciniak,GO14059,Melusina,1893 AJ,MB-O,T,C,S,-,95.77,M,9.13,V,M,0.15,S,-,0.0429,-,12.97,-,-,0.2,0.25,3,-,-,N,N,N,N,N
3801,TROJAN (3801),6,200052111,200052248,138,NA,asteroid-Trojan,-3801,TROJAN (3801),1985 VS|3801|Thrasymedes,Ryan,GO6025,Thrasymedes,1985 VS,TR-J,A,C,C,-,35.12,M,11,V,M,0.15,A,-,0.057,-,20.27,-,-,0.08,1.07,2,-,-,N,N,N,N,N
38574,TROJAN (38574),6,200052249,200052466,218,NA,asteroid-Trojan,-38574,TROJAN (38574),1999 WS4|38574,Ryan,GO6025,1999 WS4,1999 WS4,TR-J,A,C,C,-,25.44,M,11.7,V,M,0.15,A,-,0.057,-,7.085,-,-,-9.99,0.22,2,H,-,N,N,Y,N,N
39270,TROJAN (39270),6,200052467,200052760,294,NA,asteroid-Trojan,-39270,TROJAN (39270),2001 AH11|39270,Ryan,GO6025,2001 AH11,2001 AH11,TR-J,A,C,C,-,20.21,M,12.2,V,M,0.15,A,-,0.057,-,82.191,-,-,-9.99,0.14,2-,HA,-,N,N,Y,N,N
39286,TROJAN (39286),6,200052761,200052975,215,NA,asteroid-Trojan,-39286,TROJAN (39286),2001 CX6|39286,Ryan,GO6025,2001 CX6,2001 CX6,TR-J,A,C,C,-,19.3,M,12.3,V,M,0.15,A,-,0.057,-,8.421,-,-,0.43,0.5,2+,H,-,N,N,Y,N,N
39289,TROJAN (39289),6,200052976,200053050,75,NA,asteroid-Trojan,-39289,TROJAN (39289),2001 CT28|39289,Ryan,GO6025,2001 CT28,2001 CT28,TR-J,A,C,C,-,18.43,M,12.4,V,M,0.15,A,-,0.057,-,19.062,-,-,0.76,1.04,2+,H,-,N,N,Y,N,N
4035,TROJAN (4035),6,200053782,200053995,214,NA,asteroid-Trojan,-4035,TROJAN (4035),1986 WD|4035,Ryan,GO6025,1986 WD,1986 WD,TR-J,A,C,D,-,68.23,M,9.6,V,M,0.15,D,-,0.0548,-,13.467,-,-,0.17,0.21,3,-,-,N,N,N,N,N
